City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
140,Saldanha,PT,2019-11-10 02:34:16,41.42,-6.55,40.08,89,100,6.2
141,Tumarbong,PH,2019-11-10 02:34:16,10.38,119.46,91.38,49,39,1.14
142,Brae,GB,2019-11-10 02:34:16,60.4,-1.35,41.0,74,33,11.41
143,Hilo,US,2019-11-10 02:33:36,19.71,-155.08,82.4,69,1,6.93
144,Alofi,NU,2019-11-10 02:31:31,-19.06,-169.92,80.6,69,0,16.11
145,Duku,ID,2019-11-10 02:34:17,-1.19,100.47,78.13,73,58,4.16
146,Karratha,AU,2019-11-10 02:34:17,-20.74,116.85,82.72,54,44,13.02
147,Shar,NG,2019-11-10 02:34:17,7.3,8.73,76.53,86,100,4.12
148,Wanning,AT,2019-11-10 02:34:18,48.64,13.53,35.01,93,75,4.7
149,Tilichiki,RU,2019-11-10 02:34:18,60.47,166.1,32.29,98,100,9.06
150,Hauterive,CA,2019-11-10 02:34:18,49.18,-68.27,30.2,74,90,24.16
151,Faanui,PF,2019-11-10 02:31:49,-16.48,-151.75,79.36,80,100,16.82
152,Muros,ES,2019-11-10 02:34:18,42.77,-9.06,54.0,100,40,2.24
153,Haines Junction,CA,2019-11-10 02:33:29,60.75,-137.51,-2.48,96,0,6.08
154,Sitka,US,2019-11-10 02:33:52,37.17,-99.65,52.0,35,0,3.0
155,Khasan,RU,2019-11-10 02:32:18,42.43,130.64,48.96,66,100,3.71
156,Bluff,AU,2019-11-10 02:34:19,-23.58,149.07,86.54,9,27,3.89
157,Ayorou,NE,2019-11-10 02:34:19,14.73,0.92,82.94,17,0,5.66
158,Koboko,UG,2019-11-10 02:34:20,3.41,30.96,64.58,90,100,2.19
159,Kaitangata,NZ,2019-11-10 02:32:55,-46.28,169.85,51.01,83,99,11.01
160,Geraldton,CA,2019-11-10 02:34:03,49.72,-86.95,15.8,85,90,4.7
161,Cape Town,ZA,2019-11-10 02:33:01,-33.93,18.42,64.0,77,59,5.82
162,Port Augusta,AU,2019-11-10 02:34:21,-32.49,137.76,73.99,55,0,10.29
163,Wamba,CD,2019-11-10 02:34:21,2.14,27.99,66.09,96,100,1.59
164,Bonthe,SL,2019-11-10 02:34:21,7.53,-12.5,78.58,83,17,3.49
165,Majene,ID,2019-11-10 02:34:21,-3.54,118.97,87.39,56,31,7.96
166,Longkou,CN,2019-11-10 02:34:21,37.64,120.47,54.3,55,66,18.77
167,Diebougou,BF,2019-11-10 02:34:22,10.97,-3.25,78.42,44,0,4.47
168,Leningradskiy,RU,2019-11-10 02:34:22,69.38,178.42,18.52,59,0,5.19
169,Millbrook,US,2019-11-10 02:34:22,32.48,-86.36,46.4,100,1,2.17
170,Tuktoyaktuk,CA,2019-11-10 02:33:48,69.44,-133.03,5.0,71,20,14.99
171,Chivilcoy,AR,2019-11-10 02:33:38,-34.9,-60.02,62.01,87,14,1.99
172,Campo Alegre,BR,2019-11-10 02:34:23,-9.78,-36.36,71.6,94,20,4.7
173,Kapustin Yar,RU,2019-11-10 02:34:23,48.58,45.77,41.27,77,24,10.33
174,Norman Wells,CA,2019-11-10 02:34:23,65.28,-126.83,-5.81,91,20,4.7
175,Goderich,CA,2019-11-10 02:34:23,43.74,-81.71,39.99,72,66,1.01
176,Butia,BR,2019-11-10 02:34:24,-21.88,-47.57,68.0,100,84,5.82
177,Lata,IN,2019-11-10 02:34:24,30.78,78.62,33.03,12,0,2.39
178,Susehri,TR,2019-11-10 02:34:24,40.16,38.09,39.16,34,0,2.98
179,Pizarro,CO,2019-11-10 02:34:24,4.95,-77.37,77.99,88,100,9.17
180,Ca Mau,VN,2019-11-10 02:34:25,9.18,105.15,84.29,62,100,4.25
181,Makakilo City,US,2019-11-10 02:34:25,21.35,-158.09,82.4,69,40,5.82
182,Hobart,AU,2019-11-10 02:34:25,-42.88,147.33,63.0,67,0,18.34
183,Kodinsk,RU,2019-11-10 02:34:25,58.6,99.18,1.4,86,100,10.8
184,Lebu,ET,2019-11-10 02:34:25,8.96,38.73,49.75,66,7,1.95
185,Waslala,NI,2019-11-10 02:34:26,13.33,-85.37,68.18,99,97,1.79
186,Pokrovsk,RU,2019-11-10 02:34:26,61.48,129.14,2.82,92,97,4.72
187,Qaanaaq,GL,2019-11-10 02:30:30,77.48,-69.36,-5.08,42,0,5.82
188,Kashan,IR,2019-11-10 02:34:26,33.99,51.44,41.0,60,0,1.36
189,Kropotkin,RU,2019-11-10 02:34:26,45.43,40.58,47.01,88,38,9.86
190,Rundu,NA,2019-11-10 02:34:27,-17.91,19.77,75.2,57,100,4.7
191,Nanortalik,GL,2019-11-10 02:33:28,60.14,-45.24,36.9,78,100,30.76
192,Dikson,RU,2019-11-10 02:33:38,73.51,80.55,22.26,93,100,20.4
193,Launceston,AU,2019-11-10 02:34:27,-41.43,147.14,64.99,47,90,13.87
194,Torbay,CA,2019-11-10 02:34:08,47.66,-52.73,34.0,57,20,21.92
195,Amapa,HN,2019-11-10 02:34:28,15.09,-87.97,77.0,88,75,5.82
196,Tame,CO,2019-11-10 02:34:28,6.46,-71.72,74.34,92,37,2.57
197,Rio Grande,BR,2019-11-10 02:34:28,-32.03,-52.1,71.01,91,77,1.01
198,Laguna,BZ,2019-11-10 02:34:29,16.17,-88.94,78.8,83,20,0.85
199,Rio Gallegos,AR,2019-11-10 02:34:29,-51.62,-69.22,41.0,72,0,21.92
200,Auki,NG,2019-11-10 02:34:29,12.18,6.51,76.69,27,21,5.48
201,Dharchula,IN,2019-11-10 02:34:29,29.85,80.53,49.93,24,0,1.52
202,Sao Joao Do Paraiso,BR,2019-11-10 02:34:30,-15.31,-42.01,65.52,77,0,6.2
203,Houma,CN,2019-11-10 02:34:30,35.63,111.36,55.35,27,0,14.7
204,Palu,ID,2019-11-10 02:34:30,-0.9,119.87,85.39,52,95,2.21
205,Chara,GR,2019-11-10 02:34:31,39.42,22.43,55.4,93,40,2.33
206,Baglung,NP,2019-11-10 02:34:31,28.27,83.59,52.48,37,0,3.04
207,Brenham,US,2019-11-10 02:34:31,30.17,-96.4,55.99,71,1,4.0
208,Saint-Philippe,CA,2019-11-10 02:32:51,45.36,-73.48,36.0,59,90,11.41
209,Paamiut,GL,2019-11-10 02:34:32,61.99,-49.67,39.58,62,100,18.21
210,Luan,CH,2019-11-10 02:34:32,46.36,6.98,37.99,100,20,3.98
211,Castro,CL,2019-11-10 02:34:32,-42.48,-73.76,51.8,93,100,4.7
212,Atar,MR,2019-11-10 02:34:33,20.52,-13.05,73.13,21,100,9.33
213,Vestmannaeyjar,IS,2019-11-10 02:34:33,63.44,-20.27,46.29,74,33,26.98
214,Ilulissat,GL,2019-11-10 02:34:33,69.22,-51.1,35.6,31,79,21.92
215,Mahebourg,MU,2019-11-10 02:32:10,-20.41,57.7,73.0,93,75,4.7
216,Axim,GH,2019-11-10 02:34:07,4.87,-2.24,75.96,91,63,2.42
217,Pisco,PE,2019-11-10 02:34:08,-13.71,-76.2,64.4,77,31,12.75
218,Camopi,GF,2019-11-10 02:34:34,3.17,-52.33,72.05,96,7,2.35
219,Namibe,AO,2019-11-10 02:34:06,-15.19,12.15,76.3,76,8,9.44
220,Shinpokh,PK,2019-11-10 02:34:35,34.33,71.18,55.4,76,0,4.7
221,Vung Tau,VN,2019-11-10 02:34:35,10.35,107.08,79.95,68,100,12.97
222,Mogadishu,SO,2019-11-10 02:34:35,2.04,45.34,81.9,70,100,5.26
223,Isangel,VU,2019-11-10 02:34:14,-19.55,169.27,84.2,58,75,9.17
224,Leh,IN,2019-11-10 02:34:36,34.16,77.58,16.27,24,0,2.21
225,Huanren,CN,2019-11-10 02:34:36,41.26,125.37,44.92,50,100,9.48
226,Vila Velha,BR,2019-11-10 02:34:36,-3.71,-38.6,86.0,74,20,13.87
227,Verkhnetulomskiy,RU,2019-11-10 02:34:36,68.61,31.8,-14.81,75,40,0.98
228,Sussex,CA,2019-11-10 02:34:37,45.72,-65.51,28.4,86,75,2.24
229,Xuzhou,CN,2019-11-10 02:34:37,34.27,117.18,66.02,21,0,20.33
230,Esperance,AU,2019-11-10 02:30:41,-33.86,121.89,98.6,37,33,20.8
231,Marawi,PH,2019-11-10 02:34:37,8.0,124.29,84.99,73,55,4.0
232,Imbituba,BR,2019-11-10 02:34:37,-28.24,-48.67,71.6,94,75,4.7
233,Quang Ngai,VN,2019-11-10 02:32:11,15.12,108.8,73.56,93,100,27.92
234,Cortez,US,2019-11-10 02:30:03,37.35,-108.58,44.01,37,1,8.05
235,Hammerfest,NO,2019-11-10 02:34:38,70.66,23.68,14.0,78,0,11.41
236,Sao Miguel Do Araguaia,BR,2019-11-10 02:34:38,-13.28,-50.16,74.3,76,0,0.36
237,Mount Gambier,AU,2019-11-10 02:34:39,-37.83,140.78,55.4,82,90,14.99
238,Verkhoyansk,RU,2019-11-10 02:34:39,67.55,133.39,-19.7,90,0,1.52
239,Nortelandia,BR,2019-11-10 02:34:39,-14.45,-56.8,72.95,92,44,3.31
240,Ambovombe,MG,2019-11-10 02:34:39,-25.18,46.09,69.48,80,66,9.78
241,Iberia,PE,2019-11-10 02:34:39,-11.41,-69.49,73.63,94,80,2.48
